Application Name;Application Version;Application Publisher;Application Uninstall
1-Wire Drivers Version 4.03 x64;4.0.3;Maxim Integrated Products;MsiExec.exe /qn /norestart /X{A7F4ED14-F167-47EE-AF9A-43963500E1D9}
4D v12.4;12.04.0000;4D SAS;MsiExec.exe /qn /norestart /X{C614E025-173C-4739-8847-CEE1EF7EB297}
4D v16 R4 32-bit;16.4.216.566;4D;"""C:\Program Files (x86)\Common Files\Uninstall\unins000.exe"" /SILENT"
6000 Series Tools;5.7;Nom de votre société;MsiExec.exe /qn /norestart /X{B96B3A89-9979-4AF6-96E6-A75FEB86AEC4}
7-Zip 16.02;16.02;Igor Pavlov;"""C:\Program Files\7-Zip\Uninstall.exe"""
7-Zip 16.02 (x64);16.02;Igor Pavlov;"""C:\Program Files\7-Zip\Uninstall.exe"""
7-Zip 18.01 (x64 edition);18.01.00.0;Igor Pavlov;MsiExec.exe /qn /norestart /X{23170F69-40C1-2702-1801-000001000000}
7-Zip 18.05 (x64 edition);18.05.00.0;Igor Pavlov;MsiExec.exe /qn /norestart /X{23170F69-40C1-2702-1805-000001000000}
7-Zip 19.00 (x64);19.00;Igor Pavlov;"""C:\Program Files\7-Zip\Uninstall.exe"""
7-Zip 9.20;9.20;;"""C:\Program Files\7-Zip\Uninstall.exe"""
90227 OnTrak ABP Driver;1.1.9;Spacelabs Healthcare;MsiExec.exe /qn /norestart /X{2BA9AFF1-9390-4894-B78E-BA15552EB6EB}
Abbott USB Data Cable Installation;1.00.0000;Nom de votre société;"""C:\Program Files (x86)\InstallShield Installation Information\{95A7C713-EC82-48DC-A3E9-8D60C7FBBFEB}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
Abbott USB Data Cable Installation;1.00.0000;Nom de votre société;"""C:\Program Files\InstallShield Installation Information\{95A7C713-EC82-48DC-A3E9-8D60C7FBBFEB}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
AccelerometerP11;2.00.10.17;STMicroelectronics;"""C:\Program Files\InstallShield Installation Information\{87434D51-51DB-4109-B68F-A829ECDCF380}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
AccuLink;1.3.4.4204;GN Otometrics;"""C:\ProgramData\{47632965-F3A9-4DE3-982C-4F4C41323320}\acculink-1.3.4.4204.exe"" REMOVE=TRUE MODIFY=FALSE"
AccuLink;1.4.6.6605;GN Otometrics;"""C:\ProgramData\{8EFCD095-7AD6-4BD4-A173-CDBD9790E433}\AccuLink.exe"" REMOVE=TRUE MODIFY=FALSE"
ACS Unified PC/SC Driver 4.0.0.6;4.0.6;Advanced Card Systems Ltd.;MsiExec.exe /qn /norestart /X{09104D65-C3F4-412B-A857-2A662E5812B4}
ACS Unified PC/SC Driver 4.0.0.6;4.0.6;Advanced Card Systems Ltd.;MsiExec.exe /qn /norestart /X{7B08F739-5A58-4732-88D2-E3C000829C7C}
ActiveBarcode-Trial;6.2.0;ActiveBarcode.com;"""C:\Program Files (x86)\ActiveBarcode\unins000.exe"" /SILENT"
ActiveBarcode-Trial Object (x64);6.2.0.0;ActiveBarcode.com;MsiExec.exe /qn /norestart /X{85E0DF42-959D-4B79-A931-1FF0426A7E90}
ActiveBarcode-Trial Object (x86);6.2.0.0;ActiveBarcode.com;MsiExec.exe /qn /norestart /X{22FFB2C4-4A8D-4E52-B150-BC4189150A2A}
Adobe Acrobat 2017;17.011.30142;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-7760-0E1108756300}
Adobe Acrobat 2017;17.011.30143;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-7760-0E1108756300}
Adobe Acrobat 7.0 Professional - English, Français, Deutsch;7.0.0;Adobe Systems;msiexec /I {AC76BA86-1033-F400-7760-100000000002}
Adobe Acrobat DC (2015);15.006.30498;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-7760-0E0F06755100}
Adobe Acrobat Reader DC - Français;15.007.20033;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.020.20039;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.020.20042;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.023.20053;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.023.20056;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.023.20070;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;17.009.20044;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;17.009.20058;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;18.011.20035;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;18.011.20036;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
